  84,   46,  104,   65,   20,   19,    1,   11
 366,   19,  383,   35,   17,   16,    2,   11
 233,   21,  252,   39,   19,   18,    3,   11
 347,   25,  359,   38,   12,   13,    4,   11
   7,  327,   27,  346,   20,   19,    5,   11
 282,  167,  294,  181,   12,   14,    6,   11
 114,  312,  137,  335,   23,   23,    7,   11
 400,  457,  423,  477,   23,   20,    8,   11
 483,   76,  505,   96,   22,   20,    9,   11
  11,  228,   35,  251,   24,   23,   10,   11
 134,  464,  144,  474,   10,   10,   12,   11
 314,  274,  323,  284,    9,   10,   13,   11
 386,  313,  401,  321,   15,    8,   14,   11
 409,  129,  417,  140,    8,   11,   15,   11
 418,   55,  454,   90,   36,   35,   16,   11
 139,   82,  155,   98,   16,   16,   17,   11
 138,   28,  145,   35,    7,    7,   18,   11
 244,  465,  283,  489,   39,   24,   19,   11
 480,    0,  510,   42,   30,   42,   20,   11
  57,  177,   63,  186,    6,    9,   21,   11
 283,  500,  297,  512,   14,   12,   23,   11
 468,   56,  487,   74,   19,   18,   24,   11
 321,  378,  330,  389,    9,   11,   25,   11
 495,  461,  512,  479,   17,   18,   26,   11
  84,   46,  104,   65,   20,   19,    1,   12
 366,   19,  383,   35,   17,   16,    2,   12
 234,   21,  253,   39,   19,   18,    3,   12
 347,   25,  359,   38,   12,   13,    4,   12
   7,  327,   27,  345,   20,   18,    5,   12
 283,  167,  294,  181,   11,   14,    6,   12
 114,  311,  137,  334,   23,   23,    7,   12
 400,  457,  423,  476,   23,   19,    8,   12
 483,   76,  505,   96,   22,   20,    9,   12
  11,  228,   35,  250,   24,   22,   10,   12
 135,  464,  145,  473,   10,    9,   12,   12
 314,  274,  324,  284,   10,   10,   13,   12
 386,  313,  401,  322,   15,    9,   14,   12
 410,  128,  418,  139,    8,   11,   15,   12
 418,   55,  454,   90,   36,   35,   16,   12
 139,   82,  155,   98,   16,   16,   17,   12
 138,   27,  146,   35,    8,    8,   18,   12
 247,  462,  287,  491,   40,   29,   19,   12
 480,    0,  512,   42,   32,   42,   20,   12
  57,  177,   64,  186,    7,    9,   21,   12
 282,  492,  299,  507,   17,   15,   23,   12
 469,   58,  488,   77,   19,   19,   24,   12
 321,  378,  330,  389,    9,   11,   25,   12
 495,  461,  512,  479,   17,   18,   26,   12
  84,   46,  104,   65,   20,   19,    1,   13
 366,   19,  383,   35,   17,   16,    2,   13
 234,   21,  253,   39,   19,   18,    3,   13
 348,   25,  359,   38,   11,   13,    4,   13
   7,  327,   27,  345,   20,   18,    5,   13
 283,  167,  294,  181,   11,   14,    6,   13
 114,  311,  137,  334,   23,   23,    7,   13
 399,  457,  422,  476,   23,   19,    8,   13
 483,   76,  505,   96,   22,   20,    9,   13
  11,  228,   35,  250,   24,   22,   10,   13
 135,  464,  145,  473,   10,    9,   12,   13
 314,  274,  324,  284,   10,   10,   13,   13
 386,  313,  402,  322,   16,    9,   14,   13
 409,  128,  418,  139,    9,   11,   15,   13
 418,   55,  454,   90,   36,   35,   16,   13
 139,   82,  155,   98,   16,   16,   17,   13
 138,   26,  146,   34,    8,    8,   18,   13
 248,  461,  288,  491,   40,   30,   19,   13
 480,    0,  512,   42,   32,   42,   20,   13
  57,  177,   64,  186,    7,    9,   21,   13
 282,  492,  299,  507,   17,   15,   23,   13
 469,   58,  488,   77,   19,   19,   24,   13
 321,  378,  330,  389,    9,   11,   25,   13
 495,  461,  512,  479,   17,   18,   26,   13
  85,   45,  105,   64,   20,   19,    1,   14
 368,   18,  385,   34,   17,   16,    2,   14
 237,   23,  254,   37,   17,   14,    3,   14
 347,   23,  363,   39,   16,   16,    4,   14
   6,  322,   25,  340,   19,   18,    5,   14
 285,  166,  297,  181,   12,   15,    6,   14
 115,  308,  137,  331,   22,   23,    7,   14
 401,  456,  424,  477,   23,   21,    8,   14
 485,   75,  507,   96,   22,   21,    9,   14
  14,  228,   39,  250,   25,   22,   10,   14
 136,  463,  146,  472,   10,    9,   12,   14
 315,  272,  327,  283,   12,   11,   13,   14
 389,  313,  399,  324,   10,   11,   14,   14
 411,  128,  421,  136,   10,    8,   15,   14
 421,   55,  458,   90,   37,   35,   16,   14
 142,   81,  155,   96,   13,   15,   17,   14
 248,  467,  275,  491,   27,   24,   19,   14
 484,    1,  512,   48,   28,   47,   20,   14
   1,  216,   19,  234,   18,   18,   21,   14
 282,  491,  299,  507,   17,   16,   23,   14
 472,   67,  490,   85,   18,   18,   24,   14
 321,  374,  330,  383,    9,    9,   25,   14
 495,  461,  512,  479,   17,   18,   26,   14
  85,   45,  105,   64,   20,   19,    1,   15
 369,   17,  386,   33,   17,   16,    2,   15
 238,   23,  255,   36,   17,   13,    3,   15
 347,   23,  364,   39,   17,   16,    4,   15
   6,  321,   25,  339,   19,   18,    5,   15
 285,  166,  297,  181,   12,   15,    6,   15
 115,  307,  138,  330,   23,   23,    7,   15
 402,  455,  424,  477,   22,   22,    8,   15
 486,   75,  507,   96,   21,   21,    9,   15
  15,  227,   40,  250,   25,   23,   10,   15
 137,  462,  147,  472,   10,   10,   12,   15
 315,  271,  328,  282,   13,   11,   13,   15
 389,  313,  398,  324,    9,   11,   14,   15
 412,  127,  421,  136,    9,    9,   15,   15
 422,   55,  459,   90,   37,   35,   16,   15
 143,   81,  154,   95,   11,   14,   17,   15
